line	trial	thousand_kernel_weight
'1066'	GRINcore_2009_Lab_Aberdeen	38.4
'1372'	GRINcore_2009_Lab_Aberdeen	54.7
'1164'	GRINcore_2009_Lab_Aberdeen	29.4
'1049'	GRINcore_2009_Lab_Aberdeen	38.1
'1068A'	GRINcore_2009_Lab_Aberdeen	41
'KAMMAH|PI527448'	GRINcore_2009_Lab_Aberdeen	29.1
'1360'	GRINcore_2009_Lab_Aberdeen	40.3
'SARAYA'	GRINcore_2009_Lab_Aberdeen	33.4
'MUSANE|PI532264'	GRINcore_2009_Lab_Aberdeen	36.8
'CHILI|PI534350'	GRINcore_2009_Lab_Aberdeen	36.7
'HEDBA'	GRINcore_2009_Lab_Aberdeen	48.1
'LERMA'	GRINcore_2009_Lab_Aberdeen	33.9
'GABO|PI565218'	GRINcore_2009_Lab_Aberdeen	49.5
'TRIGO|PI565220'	GRINcore_2009_Lab_Aberdeen	45.1
'POLESSKAJA71'	GRINcore_2009_Lab_Aberdeen	44.5
'15034'	GRINcore_2009_Lab_Aberdeen	42
'1147'	GRINcore_2009_Lab_Aberdeen	31.2
'1149'	GRINcore_2009_Lab_Aberdeen	29.2
'84TK293-008.1'	GRINcore_2009_Lab_Aberdeen	49.2
'MERAV|PI583717'	GRINcore_2009_Lab_Aberdeen	49.2
'Q10.120'	GRINcore_2009_Lab_Aberdeen	39.8
'CM39714-5S-2AP-OAP'	GRINcore_2009_Lab_Aberdeen	41.9
'SOLITAIRE'	GRINcore_2009_Lab_Aberdeen	34
'1004B'	GRINcore_2009_Lab_Aberdeen	39.9
'1229'	GRINcore_2009_Lab_Aberdeen	49.9
'2643'	GRINcore_2009_Lab_Aberdeen	39.5
'KULE|PI532248'	GRINcore_2009_Lab_Aberdeen	30.2
'KULE|PI532249'	GRINcore_2009_Lab_Aberdeen	42.8
'KULE|PI532252'	GRINcore_2009_Lab_Aberdeen	31.6
'MUFSEGHA'	GRINcore_2009_Lab_Aberdeen	35.4
'KULE|PI532259'	GRINcore_2009_Lab_Aberdeen	32.4
'KULE|PI532260'	GRINcore_2009_Lab_Aberdeen	31.2
'KULE|PI532269'	GRINcore_2009_Lab_Aberdeen	35.1
'MUSANE|PI532272'	GRINcore_2009_Lab_Aberdeen	31.8
'KULE|PI532273'	GRINcore_2009_Lab_Aberdeen	30.8
'MUSANE|PI532275'	GRINcore_2009_Lab_Aberdeen	40.1
'7442'	GRINcore_2009_Lab_Aberdeen	37
'KULE|PI532295'	GRINcore_2009_Lab_Aberdeen	28.3
'SARIYA|PI532297'	GRINcore_2009_Lab_Aberdeen	30.9
'MG07795'	GRINcore_2009_Lab_Aberdeen	52.5
'MG18143'	GRINcore_2009_Lab_Aberdeen	51.1
'MG18154'	GRINcore_2009_Lab_Aberdeen	43.4
'MG18160'	GRINcore_2009_Lab_Aberdeen	40.7
'MG18195'	GRINcore_2009_Lab_Aberdeen	47
'MG18206'	GRINcore_2009_Lab_Aberdeen	49.5
'MG18207'	GRINcore_2009_Lab_Aberdeen	37.4
'MG18220'	GRINcore_2009_Lab_Aberdeen	51.3
'MG18222'	GRINcore_2009_Lab_Aberdeen	47.1
'MG18237'	GRINcore_2009_Lab_Aberdeen	47.8
'MG18250'	GRINcore_2009_Lab_Aberdeen	51.7
'MG18266'	GRINcore_2009_Lab_Aberdeen	51.5
'MG26411'	GRINcore_2009_Lab_Aberdeen	43.6
'GHATI|PI542652'	GRINcore_2009_Lab_Aberdeen	30
'GHATI|PI542658'	GRINcore_2009_Lab_Aberdeen	26.7
'MANGA'	GRINcore_2009_Lab_Aberdeen	32
'BOURBA'	GRINcore_2009_Lab_Aberdeen	27.8
'GHATI|PI542666'	GRINcore_2009_Lab_Aberdeen	39
'HAMRA|PI542668'	GRINcore_2009_Lab_Aberdeen	40.9
'SUDANI'	GRINcore_2009_Lab_Aberdeen	24.6
'EXTRA_EARLY_BLACKHULL'	GRINcore_2009_Lab_Aberdeen	31.1
'COLONEL'	GRINcore_2009_Lab_Aberdeen	40.5
'ECSI'	GRINcore_2009_Lab_Aberdeen	44.2
'MARCALTOI'	GRINcore_2009_Lab_Aberdeen	47.6
'MV._C.33'	GRINcore_2009_Lab_Aberdeen	43.9
'78M-352-001-001'	GRINcore_2009_Lab_Aberdeen	27.5
'KM716-1-90'	GRINcore_2009_Lab_Aberdeen	45.2
'KM964-90'	GRINcore_2009_Lab_Aberdeen	46.3
'KM1071-90'	GRINcore_2009_Lab_Aberdeen	42.4
'KM588-90'	GRINcore_2009_Lab_Aberdeen	44.4
'BEZOSTAJA_EARLY'	GRINcore_2009_Lab_Aberdeen	46.7
'ERGET'	GRINcore_2009_Lab_Aberdeen	39.5
'ROSIJANKA'	GRINcore_2009_Lab_Aberdeen	34.8
'TULUNSKAJA12'	GRINcore_2009_Lab_Aberdeen	41.7
'ULJBINKA25'	GRINcore_2009_Lab_Aberdeen	44.5
'1116'	GRINcore_2009_Lab_Aberdeen	45.9
'TU85-033-01-1'	GRINcore_2009_Lab_Aberdeen	65
'TU85-048-03-1'	GRINcore_2009_Lab_Aberdeen	33.5
'OK91G134'	GRINcore_2009_Lab_Aberdeen	34.4
'OK91G158'	GRINcore_2009_Lab_Aberdeen	38.6
'1037-24-5'	GRINcore_2009_Lab_Aberdeen	51.3
'10542-63/87'	GRINcore_2009_Lab_Aberdeen	45.1
'2504/82-51'	GRINcore_2009_Lab_Aberdeen	54.1
'5946-2'	GRINcore_2009_Lab_Aberdeen	50.4
'5989-1'	GRINcore_2009_Lab_Aberdeen	48.1
'5V254KRLVR90'	GRINcore_2009_Lab_Aberdeen	45.1
'6063-5'	GRINcore_2009_Lab_Aberdeen	57.7
'6109-1'	GRINcore_2009_Lab_Aberdeen	49.8
'622-24-65'	GRINcore_2009_Lab_Aberdeen	38.7
'878-91-21'	GRINcore_2009_Lab_Aberdeen	48.3
'ID-1623-2'	GRINcore_2009_Lab_Aberdeen	49.9
'KR22AR16R1'	GRINcore_2009_Lab_Aberdeen	43.1
'KALLAKRA2'	GRINcore_2009_Lab_Aberdeen	49.1
'TARASQUE'	GRINcore_2009_Lab_Aberdeen	36.5
'SHICHIAZUANG5144'	GRINcore_2009_Lab_Aberdeen	41.6
'ASTRILLANO'	GRINcore_2009_Lab_Aberdeen	48.7
'MURA_HUMA'	GRINcore_2009_Lab_Aberdeen	42.3
'MOCHO|PI565209'	GRINcore_2009_Lab_Aberdeen	41.8
'FLORENTINO|PI565213'	GRINcore_2009_Lab_Aberdeen	40
'TRIGO|PI565221'	GRINcore_2009_Lab_Aberdeen	43.7
'GABO|PI565222'	GRINcore_2009_Lab_Aberdeen	45.8
'AUSTRALIANO'	GRINcore_2009_Lab_Aberdeen	44.3
'FLORENTINO|PI565226'	GRINcore_2009_Lab_Aberdeen	46.4
'FLORENTINO|PI565228'	GRINcore_2009_Lab_Aberdeen	44
'AMERICANO'	GRINcore_2009_Lab_Aberdeen	44.8
'TRIGO_AUSTRALIANO'	GRINcore_2009_Lab_Aberdeen	47.7
'JARAL'	GRINcore_2009_Lab_Aberdeen	34.7
'QUIMORA'	GRINcore_2009_Lab_Aberdeen	45
'TRIGO|PI565240'	GRINcore_2009_Lab_Aberdeen	37.5
'SAGUAYO'	GRINcore_2009_Lab_Aberdeen	45.5
'CRIOLLO|PI565245'	GRINcore_2009_Lab_Aberdeen	48
'CRIOLLO|PI565246'	GRINcore_2009_Lab_Aberdeen	47.6
'FLORENTINO|PI565249'	GRINcore_2009_Lab_Aberdeen	47.6
'KHUMPU'	GRINcore_2009_Lab_Aberdeen	42.8
'FLORENTINO|PI565255'	GRINcore_2009_Lab_Aberdeen	48.3
