probIn scale
0.4970233 258.4555
0.6377278 227.0577
0.7293142 267.2327
0.681932 253.1824
0.579094 257.6485
0.5722456 391.9764
0.5477612 386.5072
0.6987591 324.7257
0.5143017 307.2708
0.588232 217.0048
0.6597113 202.7311
0.7221329 210.6276
0.7486781 168.1064
0.8021211 192.8889
0.679541 173.7815
0.6331426 184.0141
0.7273881 178.401
0.6500148 151.8374
0.7102601 98.20441
0.6965614 103.3017
0.6739897 136.4189
0.7904094 163.2337
0.6687688 139.0296
0.7404337 174.4809
0.6534023 168.7569
0.5965339 170.1739
0.6770445 163.5721
0.7733022 209.2715
0.6826748 215.494
0.8255826 174.5817
0.6542601 238.3048
0.6611057 246.5676
0.7198902 196.737
0.715781 151.6367
0.7360486 163.4081
0.6909105 212.4485
0.5494626 153.0082
0.6651945 191.9308
0.6772912 182.5059
0.6063558 157.6348
0.5830221 158.3758
0.6289189 125.7799
0.5348566 127.7632
0.702394 132.5494
0.7455726 93.86624
0.7309843 99.15607
0.7977569 101.7495
0.653605 91.65972
0.6795984 127.6426
0.8141442 165.6555
0.6508693 193.0107
0.6292871 189.8965
0.6329741 206.5822
0.6960532 170.7368
0.6134819 159.4456
0.6201814 177.6675
0.6319045 224.04
0.7672018 210.6135
0.7324529 315.8617
0.665293 370.0255
0.7818057 329.0987
0.7628355 285.5373
0.4966175 231.375
0.7033073 189.9343
0.7420347 151.2854
0.7081973 202.416
0.6808631 246.1348
0.7906249 217.5127
0.6917646 251.2678
0.7841435 224.4139
0.7300256 211.3248
0.7214511 243.9305
0.6921019 218.5696
0.7618013 256.31
0.6574114 267.9604
0.633248 248.7763
0.6518878 273.6348
0.7422394 362.097
0.5717459 379.0867
0.4507197 406.4181
0.4660229 487.0426
0.5684016 450.0788
0.672123 452.4387
0.6967405 394.9536
0.629702 499.904
0.6630858 537.5699
0.7292171 408.325
0.6616427 413.5536
0.777072 360.6549
0.7130704 349.7605
0.6468896 300.7195
0.7145795 265.1558
0.7188357 268.9419
0.6444673 297.907
0.6240009 414.8255
0.6733801 408.4151
0.7329384 419.0855
0.5903255 339.0654
0.6152687 303.186
0.7550949 311.6135
0.6431646 342.2082
0.7817419 282.5633
0.8178981 242.6453
0.739216 240.164
0.7292139 266.6144
0.7344433 287.7084
0.7293986 211.1675
0.6332731 176.0126
0.5560581 208.4835
0.4658396 195.4416
0.6605828 245.4384
0.6199629 220.4823
0.5341465 270.4566
0.4974657 335.9413
0.4425575 323.2837
0.5082352 317.4349
0.4648889 354.7619
0.4902922 379.841
0.6345293 389.6857
0.4624869 338.2806
0.5622317 336.3894
0.5100167 330.8355
0.5460285 261.5943
0.6274607 243.9668
0.5844232 174.0854
0.6132274 156.5405
0.5401847 173.2029
0.6004003 130.6693
0.5997805 129.929
0.6731156 115.7639
0.6547966 99.4531
0.6630128 182.0675
0.6001988 187.9017
0.6303364 148.1121
0.6959878 139.3903
0.6982266 154.6624
0.7159336 121.888
0.716565 107.0838
0.6854054 135.0492
0.6232091 192.2156
0.6299962 187.8652
0.5558151 185.2498
0.5468142 152.8785
0.551403 174.0086
0.5949893 213.2981
0.5546906 215.0253
0.6221608 213.7298
0.6194999 264.8014
0.444244 257.9485
0.5918343 261.6947
0.6254865 285.5137
0.5970392 324.489
0.5866323 306.5205
0.6321364 319.74
0.6268723 353.0753
0.7944878 336.2748
0.7124527 311.4788
0.7458927 328.9254
0.6618916 339.8161
0.827524 309.0699
0.6969396 293.2638
0.5137347 248.2117
0.6344644 315.4091
0.5607766 320.6257
0.6404148 313.9632
0.6720492 395.8164
0.748113 484.5039
0.6873398 422.4908
0.6191535 438.1425
0.6868808 472.1464
0.6204427 501.454
0.6741893 415.345
0.6581154 378.7045
0.4893517 359.4528
0.7398046 313.6784
0.7578185 294.0256
0.6528418 416.0329
0.7025325 576.8384
0.7585083 661.0143
0.7853671 609.8696
0.7289825 694.3786
0.7912433 771.6931
0.6801547 722.9782
0.6587718 525.0175
0.7372038 661.974
0.6169139 709.2633
0.5753645 634.5199
0.6364321 654.9461
0.480295 667.8275
0.7573672 560.4931
0.7155612 494.3194
0.6120478 411.7494
0.6183021 447.0678
0.7501905 433.8553
0.7089851 397.3319
0.6868914 364.1554
0.7554224 343.6128
0.6724777 328.8046
0.5386938 321.8708
0.6500126 368.6108
0.7402631 384.4341
0.7204943 350.0426
0.673747 377.7542
0.5921864 335.5234
0.7166502 351.4387
0.6599408 365.0844
0.62834 345.9206
0.5878825 393.9596
0.7285361 332.1599
0.5392525 295.8087
0.5789509 285.3175
0.5717232 317.7887
0.6477053 353.8276
0.7057004 349.6708
0.660661 329.4507
0.6250579 264.2287
0.6976697 239.1185
0.6308361 362.8976
0.6003973 369.4137
0.7090716 306.4196
0.5267447 328.5403
0.6319026 383.8997
0.76668 300.9729
0.7228488 295.0375
0.5286023 253.2038
0.6069686 168.2288
0.6330619 174.5824
0.5656407 171.9368
0.6764817 233.3572
0.8129824 243.526
0.8093191 202.2773
0.6243804 217.2615
0.7006967 173.1524
0.720485 173.8113
0.4652414 176.0533
0.4880002 259.1335
0.5457281 190.522
0.5219759 268.6967
0.6288257 262.2068
0.734245 211.8909
0.7064973 187.0604
0.7997231 171.4992
0.7586373 189.8339
0.7677493 149.3068
0.7498091 159.8906
0.6936685 184.7929
0.758519 182.812
0.7974591 193.4622
0.8496988 172.3581
0.6553022 163.3595
