"","x"
"1","Gm16_28885266_G_A"
"2","Gm08_16211701_T_C"
"3","Gm16_28898814_T_G"
"4","Gm08_16206319_A_G"
"5","Gm16_28746839_T_C"
"6","Gm16_28726638_T_C"
"7","Gm08_15872031_T_C"
"8","Gm08_15800128_A_G"
"9","Gm16_28772738_C_T"
"10","Gm08_13103485_T_C"
"11","Gm08_12693538_C_T"
"12","Gm08_13327429_T_G"
"13","Gm08_12630308_T_G"
"14","Gm08_12564524_A_G"
"15","Gm08_11750012_A_G"
"16","Gm08_11528092_G_A"
"17","Gm16_7675988_G_A"
"18","Gm16_7634447_C_T"
"19","Gm16_7704183_A_C"
"20","Gm16_7618646_C_T"
"21","Gm16_7360888_C_A"
"22","Gm08_12323503_C_T"
"23","Gm08_12301232_C_A"
"24","Gm08_11639568_A_C"
"25","Gm08_10985785_A_G"
"26","Gm07_768776_A_G"
"27","Gm08_11123002_G_A"
"28","Gm08_11076677_A_G"
"29","Gm08_11020996_T_C"
"30","Gm08_11233711_T_G"
"31","Gm07_746526_T_C"
"32","Gm07_674572_G_T"
"33","Gm01_47876381_A_G"
"34","Gm06_18080782_T_C"
"35","Gm01_47889672_G_A"
"36","Gm07_423284_A_G"
"37","Gm06_17422864_A_G"
"38","Gm07_1059288_T_G"
"39","Gm14_4641567_C_A"
"40","Gm07_1123613_T_C"
"41","Gm08_10612052_T_C"
"42","Gm06_17222599_T_C"
"43","Gm06_17392599_G_A"
"44","Gm06_17242471_G_A"
"45","Gm06_17303005_G_A"
"46","Gm06_17609228_A_G"
"47","Gm01_44922432_T_C"
"48","Gm06_17182458_G_A"
"49","Gm06_17514285_G_A"
"50","Gm06_17186464_T_C"
"51","Gm07_109925_T_G"
"52","Gm02_48292806_A_G"
"53","Gm07_280535_A_G"
"54","Gm14_4740832_A_G"
"55","Gm08_1566515_T_C"
"56","Gm14_4570797_G_A"
"57","Gm05_9031381_G_A"
"58","Gm02_48117364_A_G"
"59","Gm20_1218606_A_G"
"60","Gm07_319389_G_A"
"61","Gm08_1522819_G_T"
"62","Gm08_1504051_A_G"
"63","Gm16_5479629_G_T"
"64","Gm01_48369235_G_A"
"65","Gm01_48388245_G_A"
"66","Gm10_173179_T_G"
"67","Gm08_10715686_A_G"
"68","Gm05_8965870_G_T"
"69","Gm02_48371970_A_G"
"70","Gm06_16619208_G_A"
"71","Gm14_1863371_G_A"
"72","Gm14_1939749_G_A"
"73","Gm20_1199319_C_A"
"74","Gm10_725185_A_G"
"75","Gm20_963903_T_C"
"76","Gm10_545297_G_T"
"77","Gm08_2473625_G_A"
"78","Gm10_352528_T_C"
"79","Gm19_1233408_C_T"
"80","Gm19_1543689_G_T"
"81","Gm20_1314591_G_T"
"82","Gm20_2832538_C_T"
"83","Gm20_1318237_G_A"
"84","Gm20_976593_A_G"
"85","Gm20_1319097_A_G"
"86","Gm05_8775990_G_A"
"87","Gm14_1829983_A_G"
"88","Gm19_1619465_C_A"
"89","Gm06_16491296_T_C"
"90","Gm19_1112511_G_A"
"91","Gm20_881864_A_C"
"92","Gm20_886232_C_T"
"93","Gm18_54005318_C_T"
"94","Gm19_40496172_A_C"
