"","x"
"1",292.038007274277
"2",338.96391080782
"3",303.644585110414
"4",280.537623862237
"5",359.153112003996
"6",297.110293674221
"7",314.161410537071
"8",325.766487022231
"9",313.901846479961
"10",304.50353326663
"11",209.765987536375
"12",348.13709533832
"13",271.905071960378
"14",343.894566857981
"15",265.310297478529
"16",288.766054322194
"17",310.211820974508
"18",281.519357363783
"19",268.096066106009
"20",306.237153311358
"21",289.26018890722
"22",285.774350191146
"23",280.297919842133
"24",363.199602647857
"25",358.346776991735
"26",295.1329628832
"27",266.147898862229
"28",324.96026721823
"29",333.275521470544
"30",289.96175633772
"31",289.397286259746
"32",286.643895246258
"33",324.153401833487
"34",218.226230264455
"35",280.138581760382
"36",215.138634789126
"37",337.035965904557
"38",230.66587145057
"39",305.577797132061
"40",266.964594507576
"41",308.422904647226
"42",329.046955068697
"43",306.149601059471
"44",263.124153169148
"45",265.693715677751
"46",260.976023475536
"47",305.805885669715
"48",357.398770735573
"49",292.537328352454
"50",281.784981473419
"51",325.315073027382
"52",347.217541249564
"53",306.43039343169
"54",358.135665153052
"55",369.161145165153
"56",306.419473858184
"57",352.77963556424
"58",317.697403705357
"59",238.774792877739
"60",346.625631824392
"61",230.53072703466
"62",254.212377013165
"63",302.335236951586
"64",346.978938642754
"65",318.752925818969
"66",312.745066740588
"67",362.081431396034
"68",274.508271542515
"69",333.419920977022
"70",291.502893596786
"71",274.472371955291
"72",271.938336530404
"73",336.35137908064
"74",311.027047087858
"75",312.780609524234
"76",280.365768469567
"77",366.167627454391
"78",261.346609197432
"79",309.077857819682
"80",317.798862259967
"81",359.563360376405
"82",386.784289140897
"83",347.948983050292
"84",256.455063816768
"85",314.922363007767
"86",300.288982667478
"87",281.103650389697
"88",313.323867313297
"89",256.119857022354
"90",318.178542533385
"91",342.562062559025
"92",279.96861016181
"93",317.705269922207
"94",311.852078855654
"95",315.302441984288
"96",325.054733581688
"97",279.233116149356
"98",343.486367117393
"99",256.465522703607
"100",254.80457402287
"101",363.183287915011
"102",310.208880521959
"103",314.622115651989
"104",358.221815512315
"105",297.829048192964
"106",315.095135935681
"107",327.879097071377
"108",284.23920886671
"109",307.255118617086
"110",331.771477247545
"111",306.950424097277
"112",280.532156312536
"113",336.456766555085
"114",312.361851847615
"115",235.707523717593
"116",246.910983258943
"117",257.974174317583
"118",307.396938116513
"119",335.601356354414
"120",251.806097125462
"121",298.173709746918
"122",330.255245014522
"123",268.956899041137
"124",268.541980368367
"125",314.864379587904
"126",390.736697075393
"127",336.590835884447
"128",226.26340301612
"129",161.238347375728
"130",304.552290923186
"131",330.937644556873
"132",350.194146307206
"133",261.877222146675
"134",275.771886309601
"135",305.997715659663
"136",223.635840435394
"137",282.265273041348
"138",325.571371858184
"139",323.072488429145
"140",334.015270921687
"141",277.983815915714
"142",294.246806738344
"143",300.588444326704
"144",235.33840796762
"145",312.65218026253
"146",269.080431841491
"147",344.618672927316
"148",290.779359159955
"149",273.222617106803
"150",278.942044273928
"151",237.539864914642
"152",284.488880267906
"153",314.910436642857
"154",326.600821534351
"155",291.149613749289
"156",331.571084455721
"157",349.349444579941
"158",289.347389765952
"159",248.120274963833
"160",364.863387217711
"161",357.738195022228
"162",269.471413854547
"163",290.106258687221
"164",405.341887330203
"165",292.194461202343
"166",375.53872658309
"167",275.057782381895
"168",353.407102514159
"169",299.053350737071
"170",333.979394223143
"171",371.946229330524
"172",396.042511713636
"173",327.589610628751
"174",372.942635561793
"175",321.629824237706
"176",301.671663060202
"177",303.857086477811
"178",372.627598948635
"179",397.536568485738
"180",313.320377865335
"181",366.863805454369
"182",254.25661252918
"183",280.122160619032
"184",276.302946269569
"185",303.35129010287
"186",300.206296446065
"187",317.185928410498
"188",272.864465421486
"189",267.530368154425
"190",302.790886590493
"191",342.42024685542
"192",243.803785065322
"193",268.173941818443
"194",348.787912664807
"195",358.725320206054
"196",309.031526849335
"197",267.765185721903
"198",303.546383014163
"199",317.302026908541
"200",240.910243936518
"201",267.776915459541
"202",225.136813629784
"203",283.212613585212
"204",282.165903814737
"205",263.183844417908
"206",344.677483402206
"207",253.867729828765
"208",369.875871470244
"209",342.022727463123
"210",281.132497977751
"211",275.179593871009
"212",335.137935495103
"213",244.277478660298
"214",326.198757244437
"215",147.550843392372
"216",270.06135120816
"217",339.328159126117
"218",295.278668414055
"219",316.301502068543
"220",282.672452071475
"221",287.72249791609
"222",256.547554193669
"223",248.292260525751
"224",360.740273897037
"225",290.268182295959
"226",268.29176454132
"227",265.438481660736
"228",323.352336840939
"229",330.536694805643
"230",247.055805048561
"231",321.812203896969
"232",228.654222280323
"233",289.879951000511
"234",237.094841116955
"235",355.826581283602
"236",290.202616843524
"237",347.154572027991
"238",343.756769299257
"239",281.678397677678
"240",282.808397453841
"241",290.837642082852
"242",237.807979569872
"243",337.661411434694
"244",279.290706231317
"245",314.483356534773
"246",233.196556363722
"247",273.652535762238
"248",270.830963169294
"249",304.835201364594
"250",288.890104563425
"251",309.007682316249
"252",337.838695038703
"253",316.780351758573
"254",385.780045060106
"255",299.900442049115
"256",337.965313725888
"257",341.697116398329
"258",301.691939623455
"259",340.879202086973
"260",301.17580519949
"261",243.825096454294
"262",288.741571937927
"263",364.584387303644
"264",306.052886621906
"265",374.277139932357
"266",330.153462888457
"267",244.616039619632
"268",322.134349289076
"269",287.127567028361
"270",244.697237811548
"271",282.988199809252
"272",258.569010743376
"273",336.308732834804
"274",403.277404921018
"275",246.726920790838
"276",312.317434189191
"277",320.877861158949
"278",259.780046495239
"279",339.55555646415
"280",366.990934856414
"281",284.547315384908
"282",325.467135579721
"283",298.35213847102
"284",283.867385649619
"285",289.239466128827
"286",295.93734979088
"287",280.465434378821
"288",265.654780740066
"289",374.274734556053
"290",371.967820889774
"291",245.150107816533
"292",273.34510817418
"293",288.318156698881
"294",340.558087118778
"295",354.224612193504
"296",237.364838807195
"297",248.41064210181
"298",275.04456793313
"299",362.395159025963
"300",354.990040204542
"301",335.704857209561
"302",294.272832677125
"303",291.741435248523
"304",333.772705690309
"305",291.091851052917
"306",302.591287231917
"307",356.964271392165
"308",289.960478840298
"309",233.204147998935
"310",359.156684486607
"311",285.993918671433
"312",257.526737942431
"313",303.734114530716
"314",300.676215595633
"315",235.299908617129
"316",347.231382688263
"317",285.207192779259
"318",304.474653119997
"319",288.574663697965
"320",341.577189792773
"321",352.514238091868
"322",367.222937386542
"323",328.201752800028
"324",291.446027167791
"325",310.754987962383
"326",352.302541214009
"327",211.457533120272
"328",387.108591405791
"329",277.043708496159
"330",297.740064109067
"331",219.549063308217
"332",269.776818048113
"333",278.907188198937
"334",302.364050482735
"335",277.806000524371
"336",297.823356388692
"337",256.506367922496
"338",235.198101857537
"339",289.373112084325
"340",260.014564719907
"341",318.115791068647
"342",286.634547749838
"343",347.052883027056
"344",291.757781700602
"345",297.310967954098
"346",236.494683362142
"347",298.37943866267
"348",314.903330860436
"349",287.597911309827
"350",274.692467610426
"351",239.255627131586
"352",317.978246269673
"353",261.947893154318
"354",264.687558609981
"355",347.87781866641
"356",297.50339390153
"357",308.619567919506
"358",348.25238223698
"359",345.539245588072
"360",310.442110154447
"361",220.16499027447
"362",319.808437783788
"363",254.871966024279
"364",312.469983735597
"365",254.396611557383
"366",286.132378172067
"367",323.649609609321
"368",382.42852560259
"369",234.369102755431
"370",283.341776116599
"371",285.257774577623
"372",277.900857236621
"373",338.303793234809
"374",253.763352336139
"375",245.480533998199
"376",221.187897479292
"377",325.922631262919
"378",198.320426409821
"379",337.071903780746
"380",350.043868186516
"381",294.960386956708
"382",363.914663104843
"383",287.194083045645
"384",280.490850864404
"385",340.570111941804
"386",261.281300985016
"387",243.936790356985
"388",306.020023339736
"389",304.81291524909
"390",320.967755859358
"391",312.636233180204
"392",288.539468937581
"393",314.729603563555
"394",215.350520813173
"395",356.262175486891
"396",312.687644373975
"397",352.389671337697
"398",273.076526729458
"399",308.262843619108
"400",301.375492027512
