"","x"
"1","Gm16_28885266_G_A"
"2","Gm08_16211701_T_C"
"3","Gm16_28898814_T_G"
"4","Gm16_28945755_T_C"
"5","Gm08_16206319_A_G"
"6","Gm16_28746839_T_C"
"7","Gm16_28726638_T_C"
"8","Gm08_15872031_T_C"
"9","Gm08_15800128_A_G"
"10","Gm16_28772738_C_T"
"11","Gm08_13103485_T_C"
"12","Gm08_12693538_C_T"
"13","Gm08_13327429_T_G"
"14","Gm08_12630308_T_G"
"15","Gm08_12564524_A_G"
"16","Gm08_11750012_A_G"
"17","Gm08_11528092_G_A"
"18","Gm16_7675988_G_A"
"19","Gm16_7634447_C_T"
"20","Gm16_7704183_A_C"
"21","Gm16_7618646_C_T"
"22","Gm16_7360888_C_A"
"23","Gm08_12323503_C_T"
"24","Gm08_12301232_C_A"
"25","Gm08_11639568_A_C"
"26","Gm08_10985785_A_G"
"27","Gm07_768776_A_G"
"28","Gm08_11123002_G_A"
"29","Gm08_11076677_A_G"
"30","Gm08_11020996_T_C"
"31","Gm08_11233711_T_G"
"32","Gm07_746526_T_C"
"33","Gm07_674572_G_T"
"34","Gm01_47876381_A_G"
"35","Gm06_18080782_T_C"
"36","Gm01_47889672_G_A"
"37","Gm07_423284_A_G"
"38","Gm07_1038421_T_C"
"39","Gm06_17422864_A_G"
"40","Gm07_1059288_T_G"
"41","Gm14_4641567_C_A"
"42","Gm07_1123613_T_C"
"43","Gm08_10612052_T_C"
"44","Gm06_17222599_T_C"
"45","Gm06_17392599_G_A"
"46","Gm06_17242471_G_A"
"47","Gm06_17303005_G_A"
"48","Gm06_17609228_A_G"
"49","Gm01_44922432_T_C"
"50","Gm06_17678456_C_T"
"51","Gm06_17182458_G_A"
"52","Gm08_1663406_G_A"
"53","Gm06_17514285_G_A"
"54","Gm06_17186464_T_C"
"55","Gm07_109925_T_G"
"56","Gm02_48292806_A_G"
"57","Gm07_280535_A_G"
"58","Gm14_4740832_A_G"
"59","Gm08_1566515_T_C"
"60","Gm14_4570797_G_A"
"61","Gm05_9031381_G_A"
"62","Gm02_48117364_A_G"
"63","Gm20_1218606_A_G"
"64","Gm07_319389_G_A"
"65","Gm08_1522819_G_T"
"66","Gm08_1504051_A_G"
"67","Gm16_5479629_G_T"
"68","Gm01_48369235_G_A"
"69","Gm01_48388245_G_A"
"70","Gm10_173179_T_G"
"71","Gm08_10715686_A_G"
"72","Gm10_219122_A_G"
"73","Gm05_8965870_G_T"
"74","Gm02_48371970_A_G"
"75","Gm06_16619208_G_A"
"76","Gm14_1863371_G_A"
"77","Gm14_1939749_G_A"
"78","Gm20_1199319_C_A"
"79","Gm10_725185_A_G"
"80","Gm20_963903_T_C"
"81","Gm14_2015853_C_A"
"82","Gm10_545297_G_T"
"83","Gm08_2473625_G_A"
"84","Gm10_352528_T_C"
"85","Gm19_1233408_C_T"
"86","Gm19_1543689_G_T"
"87","Gm20_1314591_G_T"
"88","Gm20_2832538_C_T"
"89","Gm20_1318237_G_A"
"90","Gm20_976593_A_G"
"91","Gm20_1319097_A_G"
"92","Gm05_8775990_G_A"
"93","Gm14_1829983_A_G"
"94","Gm19_1619465_C_A"
"95","Gm06_16491296_T_C"
"96","Gm19_1112511_G_A"
"97","Gm20_881864_A_C"
"98","Gm20_886232_C_T"
"99","Gm18_54005318_C_T"
"100","Gm19_40496172_A_C"
