"","yield","pheno_2","pheno_3"
"DS11-64048",297.232216563322,1221.01664384056,144.842552311989
"DS11-06093",320.758234069488,1111.38325924576,126.002362436804
"DS11-48108",293.435712447808,1117.24220767847,144.348198542427
"DS11-27170",253.65127229312,1234.32878421575,146.55587957531
"DS11-23176",358.099414596973,1048.8389554118,141.417267963773
"DS11-27188",294.876494601752,968.627148178697,135.222284587394
"DS11-22111",307.176514262859,1172.10619698843,162.460702820958
"DS11-24146",335.545311579143,1042.57369940098,126.830890375264
"DS11-02169",304.742048035644,949.082884573897,121.715612558088
"DS11-32099",321.883056002155,901.003618753504,129.170188456353
"DS12-18051",211.250585141089,789.306663600169,135.489221236665
"DS11-05001",359.007782055393,1156.55526733818,152.7972509691
"DS11-29086",282.575931856413,904.420490894471,100.817151514188
"DS11-04002",350.953150454663,1069.57986409318,138.95021975872
"DS11-54145",261.58514286812,947.2990023821,112.99757903493
"DS11-15161",296.287865567045,924.30162549855,126.223177914614
"DS11-33187",321.240457758713,942.769336732082,132.419154301879
"DS11-09167",248.718591788789,1012.23594015098,138.708061840942
"DS11-30167",261.004381316562,919.43257238046,145.46622761686
"DS11-42010",309.451683264402,813.607720688911,108.840730789926
"DS11-32158",298.246074361841,842.417867012497,147.022454697207
"DS11-22177",287.252913847391,815.482154108334,131.515472714497
"DS11-03202",290.064626873933,1101.57050997616,146.612880359836
"DS11-10158",355.395624370509,1198.49526210687,166.124142678556
"DS12-18055",357.108797529122,1011.74101140815,150.364495927232
"DS11-22023",299.375474166279,1003.71474229637,148.572396613458
"DS11-41238",248.426338206409,1024.77609362268,91.1163466040983
"DS11-54170",337.596423290613,981.040510522362,140.052033666538
"DS11-50186",327.368824803698,941.488903731185,153.860343921457
"DS11-17212",287.395076178509,1038.62182512972,127.115778609821
"DS11-33119",311.668646597546,1085.79467432291,149.543452151023
"DS11-30153",291.363030925024,797.115001190474,146.7173310324
"DS11-31003",318.083091899392,888.361650402794,125.231047925413
"DS11-15065",220.43299455601,994.499066682959,131.05474461084
"DS11-17127",272.309682984379,911.321921195468,150.247688252656
"DS11-09069",219.822955978954,812.937989331001,116.973993051902
"DS11-50228",341.972130285563,1090.64775003926,142.726161725158
"DS11-54162",224.356509266885,857.28844134867,118.871684859213
"DS11-11167",309.67861450123,936.065953483892,142.629510895373
"DS11-25165",261.655037641683,972.042176242848,145.173823574249
"DS11-34018",324.444435964174,1069.60750629835,132.946725754829
"DS11-33135",319.980818953853,1185.06931262974,173.159882731671
"DS11-04039",346.045417488988,1212.35475600208,133.494358022836
"DS11-36125",293.078355675808,893.908917155666,163.07443346814
"DS11-50297",235.668550143225,942.882104609943,139.454414851688
"DS11-32143",252.446380968821,958.936545251253,148.672425527984
"DS11-40043",309.981783359154,981.804054252331,155.244958575038
"DS11-42006",355.178402906673,1054.22671021956,146.858510957748
"DS11-23110",322.321536994008,1052.65214406847,154.800072993765
"DS11-11046",265.501168772976,962.660445341108,123.235651686508
"DS11-32006",338.144573343693,1019.57921988811,139.052098769078
"DS11-03072",344.143721186086,1099.13898438009,158.369421389748
"DS11-39194",322.745231312176,1029.63134951862,120.024216673702
"DS11-50323",369.518019518077,1183.37614360435,127.825215398165
"DS11-40025",348.138001967879,1190.02965867758,166.234017835809
"DS11-31020",305.585639976446,1062.68057752656,131.18855597297
"DS11-41013",354.995036002299,1159.87559914512,147.739269802701
"DS11-27199",327.004027352899,852.794394200724,137.314133025
"DS11-32011",203.9818021652,1000.71660864809,142.125937027858
"DS11-38085",338.810692832355,1094.70260954091,162.634288326098
"DS11-06051",221.501866545187,953.79950021251,113.379303517921
"DS11-32023",246.587588571679,956.991243428572,120.553578701593
"DS11-32014",312.321164590672,1089.26860146775,141.468076928753
"DS11-30090",315.30018821118,1159.61902840323,166.847940641761
"DS11-05063",319.43698630505,1134.53462415315,136.512285920245
"DS11-50289",306.262084285447,1182.27092833069,156.854146892357
"DS11-30007",338.909621198728,1105.49896631031,172.74787060809
"DS11-09027",287.541988634746,978.112499075997,156.195288634445
"DS11-36154",334.149601731912,959.631018751877,164.83430938351
"DS11-06008",294.049559092978,1135.58144287285,102.88823758373
"DS11-40015",275.589032796863,928.45228792724,150.031993059516
"DS11-23051",276.239176912216,981.645487910627,136.08903705913
"DS11-37150",329.858849890966,1121.32884508578,157.995914465603
"DS11-33053",308.852738001621,934.039499587557,154.949870554715
"DS11-04212",298.468295881088,953.1938771014,135.439965698835
"DS11-12149",244.235236815291,857.644207049092,138.173577593796
"DS11-39240",370.706456521192,1160.40718760421,161.002405552602
"DS11-11047",241.681678754147,1095.97495010752,112.310723370951
"DS11-27193",306.284798286941,993.745487773205,139.593778287842
"DS11-42019",313.918314011702,1048.77723460536,125.437396664759
"DS11-10056",349.581743131284,1262.19376240451,160.032368267074
"DS11-03025",399.025187504322,1168.57895688234,148.930634003351
"DS11-33023",313.705291465072,1221.57935176926,146.250175371156
"DS11-41007",257.130103978881,917.947897851242,128.791229039068
"DS11-06122",320.41174795226,1227.78206625011,131.553625831989
"DS11-50254",300.928077013678,1062.78656877133,135.56965606987
"DS11-32069",269.991552414006,894.059270741856,143.685383655617
"DS11-03067",309.704779942061,1060.40588358565,143.936241114617
"DS11-32034",235.541173635605,837.552069052555,119.287224559506
"DS11-41116",297.90003893428,1039.14123172195,142.656145178541
"DS11-29122",349.212146385461,1217.96827929044,157.034389833472
"DS11-29170",297.948971803026,988.796719819359,134.390853723513
"DS11-03075",324.488598874958,966.973946040191,133.582612589319
"DS11-38001",318.292980812882,1009.23963771297,137.602047295696
"DS11-25169",313.38807579345,1071.19537607754,164.034958575229
"DS11-23175",306.064704063476,1201.60050492746,157.538570469589
"DS11-33062",295.36078465347,769.81091631589,155.112298899473
"DS11-29001",326.358981310273,1152.49127853952,144.263589097828
"DS11-34072",248.664711999495,818.020433317831,121.612844687309
"DS11-54057",250.582822058667,948.933787924706,126.139632592778
"DS11-31024",359.042861188366,1113.87720489254,146.642453067207
"DS11-26302",315.575761590591,1274.24623249324,148.116915260231
"DS11-13186",285.304989705518,1076.55781183552,132.040400295481
"DS12-18056",361.195217108804,1030.62143196393,144.510638488079
"DS12-18106",298.317164474703,948.062550057132,127.872417012206
"DS11-40190",316.19403514648,1221.91169329971,162.266318973231
"DS11-13078",332.641605336341,1052.84721687654,154.561127518411
"DS11-64140",280.609863297766,1083.65365531773,123.3104120644
"DS11-05204",320.128257808394,1025.04762021874,152.963673779696
"DS11-08042",334.17451578342,870.375539768667,134.84089508281
"DS11-29123",294.874584308199,926.861085973095,147.829988685065
"DS11-29005",276.584381272875,985.773790528003,91.3752201946421
"DS11-15176",299.172719856996,1009.40070362406,146.481318849615
"DS11-10005",323.585848171088,988.939978520881,152.828479082409
"DS11-36072",219.125295675111,932.473258593419,112.46344808597
"DS11-02091",231.172852443655,751.157387824158,106.336276976942
"DS11-25199",261.401203606423,967.286034081221,132.0932699758
"DS11-15090",304.122164958451,969.649554601013,161.394906468303
"DS11-24189",349.856550059822,981.382171823603,123.687804917412
"DS11-04170",233.073831046816,979.101316578206,127.480059529165
"DS11-03175",316.371330725574,997.754139786661,136.069570679885
"DS11-41057",344.797108546869,939.717600560686,146.905954767551
"DS11-22058",269.338166310194,875.822366007045,168.614774588856
"DS11-64083",252.891036450202,951.557367443833,143.044598455313
"DS11-40050",334.404174882703,979.006946780254,116.911134776583
"DS11-14187",395.503948322031,1160.54006388746,168.232857957934
"DS11-15187",327.202896895091,1123.13965116886,152.090925688896
"DS11-33107",222.555140215041,817.758733358599,127.861578008371
"TN05-3027",150.054816173616,472.745170452569,63.8678086176082
"DS11-25043",306.889651868885,1036.88035916805,125.486131267808
"DS11-10174",318.172490523099,1134.75567244115,133.678759184663
"DS11-12194",362.183313073766,1103.54723373746,175.004838387354
"DS11-37039",266.954080426112,875.364740271265,138.913207178946
"DS11-39263",269.045090668964,1131.28670019383,128.201377312728
"DS11-04008",287.563517584523,1048.60989211761,150.859263932576
"DS11-05174",213.438116195697,760.234232005329,90.781265635914
"DS11-04115",285.399900236812,1120.26318781213,149.609765495573
"DS11-39135",357.241169574277,1194.87617323136,170.724070637954
"DS11-03022",347.491278117892,953.661124481998,148.24569443742
"DS11-29075",335.493953703492,1163.71309690037,143.906784304654
"DS11-04055",277.370849012608,1100.11441067661,143.465273602504
"DS11-64115",290.228957948235,1045.93719449511,123.769680488372
"DS11-37022",295.162101113754,1024.42249908429,147.140674033259
"DS11-40184",225.450356225901,844.831586746735,158.130803061941
"DS11-04003",334.058346495399,1068.41956993652,139.606511350534
"DS11-25080",254.028809205947,954.679094084778,134.821411603332
"DS11-28218",317.189796015694,1001.17302578258,154.862398675186
"DS11-09010",301.986703344008,966.36331593026,145.70865307489
"DS11-02180",277.979777898431,876.25668099053,104.995413375199
"DS11-30126",274.638135227811,869.044549566834,140.247183968454
"DS11-22104",235.732737143805,904.694237242723,105.391719113567
"DS11-26292",295.344280558538,984.664497513434,147.764482371824
"DS11-13146",312.806217239444,1036.20126809039,149.249706639596
"DS11-08058",320.48357466713,1006.54722077716,131.332482747696
"DS11-37096",272.009922319931,955.413455724908,148.444620077872
"DS11-03032",327.75348908275,989.100046927915,159.757546588
"DS11-11244",355.405882547811,1216.68806850172,149.935923009758
"DS11-06168",271.158911690532,1082.94311844465,133.833342801181
"DS11-12020",267.997719842007,1125.9416542311,164.785831768923
"DS11-14015",364.40687498389,1073.5505510768,144.850515535419
"DS11-42094",349.753455503932,1201.64923084546,165.591207058713
"DS11-27150",262.634348055205,1026.0512816091,121.098742292872
"DS11-64144",316.859837266907,865.480527735248,144.514051054183
"DS11-23002",402.404626795453,1218.91438522909,149.364786548305
"DS11-23106",272.713482153157,967.593335835182,117.58638358535
"DS11-31030",374.471580269392,1106.60934806532,162.279877035817
"DS11-15144",253.904653412572,895.70165883298,132.217443333003
"DS11-30093",372.491423338525,1123.80630591768,153.891410489836
"DS11-25150",296.896317676911,1024.67975456006,164.684064824432
"DS11-54084",344.949886164823,1078.36684466164,150.962207092104
